datetime	initials	notes
2016-09-08 09:35	kh	no water
2016-09-09 09:20	kh	no water
2016-09-10 10:45	eg	no water
2016-09-11 10:36	eg	no water
2016-09-12 09:22	eg	fert 1 tray
2016-09-13 09:40	kh	fert 7 trays
2016-09-14 10:05	kh	fert 3 trays
2016-09-15 10:35	kh	1 plant
2016-09-16 09:25	kh	fert all
2016-09-17 10:27	eg	no water
2016-09-18 10:15	eg	no water
2016-09-19 09:20	kh	water 1
2016-09-20 09:45	kh	water 2 flats
2016-09-21 09:45	kh	no water
2016-09-22 09:15	jp	water 4 flats
2016-09-23 10:17	kh	fert all
2016-09-24 10:54	eg	no water
2016-09-25 10:43	eg	no water
2016-09-26 10:15	kh	no water
2016-09-27 09:20	kh	no water
2016-09-28 09:40	kh	fert all
		
2016-09-30 09:40	kh	no water
2016-10-01 10:41	wk	watered 1 dry plant

2016-10-03 09:05	kh	fert all
2016-10-04 10:10	kh	no water
2016-10-05 09:40	kh	no water
2016-10-06 09:35	kh	no water
2016-10-07 09:45	kh	fert all
2016-10-08 09:30	eg	no water
2016-10-09 10:30	eg	no water
