plantNum	phyllotaxy	zippy	bladeW	bladeL	petioleL	firstLeaf	exclude	notes	sourcePlate	parentVial
501	ccw	no	6.61	10.20	10.64	7		buried	40	2743
502	ccw	no	6.56	10.12	8.74	8		leaf 1 became discolored late	53	2833
503	cw	no	6.34	9.62	8.17	9			54	2833
504	ccw	yes	4.04	6.15	2.40	7			31	2204
505	ccw						failed to thrive		1	204
506							failed to thrive		34	2731
507	cw	no	5.16	8.21	3.80	5		second rosette has appeared	32	2204
508	ccw	no	5.07	9.17	9.45	8			14	768
509							small; multiple rosettes		61	2834
510	ccw	no	6.19	9.96	9.21	8			2	204
511							multiple rosettes		13	768
512	cw	no	5.63	9.29	6.92	8			35	2731
513	ccw	no	6.84	9.44	8.35	8			41	2743
514	ccw	no	5.12	8.15	6.40	7			46	2758
515	cw	yes	3.88	6.12	3.34	7			65	2834
516	cw	no	4.68	7.54	6.99	8		leaf 2 died	15	768
517	ccw	no					small---petiole 6 not elongated		62	2834
518	ccw	no	7.98	10.18	10.09	6			55	2833
519	ccw	no	6.93	11.97	10.79	7			42	2743
520	ccw	no	8.16	14.28	12.90	8			56	2833
521	cw	yes	5.19	15.61	12.30	7			33	2204
522	cw	no	7.23	9.42	7.94	7			44	2758
523							failed to thrive		16	768
524	ccw	yes	8.33	14.93	10.91	9		scraggly. Second third and fourth rosettes forming. It appears that leaf 3 did not really grow	37	2731
525	ccw	yes	5.10	6.85	5.80	6		second rosette has appeared	63	2834
526							multiple rosettes		43	2758
527	cw	yes	4.70	11.71	8.57	6			31	2204
528	cw	yes	5.35	11.61	5.61	6			36	2731
529	ccw	no	6.89	12.48	10.53	7			3	204
530	ccw	no	8.22	10.27	7.94	8			4	204
531	ccw	no					initially failed to thrive		38	2731
532							failed to thrive; multiple rosettes		40	2743
533	ccw	no	5.75	11.51	8.69	6			32	2204
534							multiple rosettes		57	2833
535	cw	yes	4.65	9.57	5.25	6			64	2834
536	cw	no	6.28	12.39	10.47	5			39	2731
537	cw	yes	5.08	17.22	12.61	7			17	768
538	cw	no	6.56	10.00	6.12	6			5	204
539	ccw	no	6.22	10.06	6.59	7			58	2833
540	cw	yes	6.00	15.59	9.87	7			19	768
541	cw	no	7.36	12.47	9.15	7			41	2743
542	cw	no	7.51	10.80	9.78	8			6	204
543	ccw	yes	7.21	17.28	12.51	7			45	2758
544	ccw	no	6.83	12.13	8.80	6				2758
545	cw	no	7.86	14.70	11.67	7			66	2834
546		yes	6.60	18.37	10.72	6			33	2204
547		no	7.00	12.14	7.22	7			41	2743
