file	transplantNum	leaf	petioleLength	bladeLength	bladeWidth	bladeArea	bladePerimeter	bladeCircularity
scan-25_plant-510.tiff (blue)	510	1	0.250	0.248	0.230	0.045	0.973	0.595
scan-25_plant-510.tiff (blue)	510	2	0.213	0.242	0.227	0.043	0.950	0.602
scan-25_plant-510.tiff (blue)	510	3	0.330	0.373	0.319	0.093	1.407	0.593
scan-25_plant-510.tiff (blue)	510	4	0.347	0.388	0.366	0.112	1.617	0.537
scan-25_plant-510.tiff (blue)	510	5	0.409	0.523	0.396	0.163	1.870	0.584
scan-25_plant-510.tiff (blue)	510	6	0.479	0.604	0.363	0.172	1.993	0.544
scan-25_plant-510.tiff (blue)	510	7	0.466	0.565	0.376	0.167	1.913	0.572
scan-25_plant-510.tiff (blue)	510	8	0.467	0.577	0.443	0.201	2.090	0.578
scan-25_plant-510.tiff (blue)	510	9	0.399	0.564	0.379	0.168	1.927	0.568
scan-25_plant-510.tiff (blue)	510	10	0.297	0.537	0.340	0.143	1.830	0.538

scan-26_plant-528.tiff (blue)	528	1	0.207	0.264	0.219	0.045	0.997	0.573
scan-26_plant-528.tiff (blue)	528	2	0.194	0.232	0.204	0.037	0.887	0.594
scan-26_plant-528.tiff (blue)	528	3	0.354	0.434	0.342	0.117	1.597	0.575
scan-26_plant-528.tiff (blue)	528	4	0.277	0.491	0.322	0.124	1.703	0.537
scan-26_plant-528.tiff (blue)	528	5	0.513	0.683	0.376	0.202	2.240	0.505
scan-26_plant-528.tiff (blue)	528	6	0.522	0.814	0.415	0.265	2.603	0.492
scan-26_plant-528.tiff (blue)	528	7	0.538	0.781	0.456	0.280	2.623	0.510
scan-26_plant-528.tiff (blue)	528	8	0.510	0.869	0.351	0.240	2.610	0.442
scan-26_plant-528.tiff (blue)	528	9	0.362	0.839	0.374	0.246	2.610	0.455
scan-26_plant-528.tiff (blue)	528	10	0.319	0.623	0.253	0.124	1.867	0.446

scan-27_plant-545.tiff (blue)	545	1	0.239	0.307	0.257	0.062	1.160	0.578
scan-27_plant-545.tiff (blue)	545	2	0.223	0.278	0.234	0.051	1.063	0.569
scan-27_plant-545.tiff (blue)	545	3	0.318	0.443	0.316	0.110	1.623	0.525
scan-27_plant-545.tiff (blue)	545	4	0.364	0.544	0.395	0.169	1.927	0.571
scan-27_plant-545.tiff (blue)	545	5	0.506	0.762	0.442	0.264	2.510	0.527
scan-27_plant-545.tiff (blue)	545	6	0.661	0.765	0.525	0.315	2.647	0.566
scan-27_plant-545.tiff (blue)	545	7	0.687	1.055	0.415	0.344	3.143	0.437
scan-27_plant-545.tiff (blue)	545	8	0.695	1.093	0.414	0.356	3.163	0.447
scan-27_plant-545.tiff (blue)	545	9	0.632	1.041	0.343	0.280	2.930	0.411
scan-27_plant-545.tiff (blue)	545	10	0.556	1.133	0.330	0.294	3.130	0.377

scan-28_plant-555.tiff (blue)	555	1	0.298	0.320	0.284	0.071	1.240	0.583
scan-28_plant-555.tiff (blue)	555	2	0.319	0.315	0.311	0.077	1.290	0.581
scan-28_plant-555.tiff (blue)	555	3	0.519	0.533	0.446	0.187	2.167	0.500
scan-28_plant-555.tiff (blue)	555	4	0.581	0.515	0.484	0.196	2.440	0.413
scan-28_plant-555.tiff (blue)	555	5	0.838	1.013	0.549	0.437	3.220	0.530
scan-28_plant-555.tiff (blue)	555	6	0.933	1.137	0.531	0.475	3.510	0.484
scan-28_plant-555.tiff (blue)	555	7	0.898	0.950	0.556	0.414	3.227	0.500
scan-28_plant-555.tiff (blue)	555	8	0.867	1.095	0.608	0.523	3.487	0.540
scan-28_plant-555.tiff (blue)	555	9	0.794	1.079	0.585	0.496	3.547	0.496
scan-28_plant-555.tiff (blue)	555	10	0.823	0.948	0.440	0.328	2.923	0.482

scan-29_plant-568.tiff (blue)	568	1	0.193	0.238	0.206	0.039	0.903	0.594
scan-29_plant-568.tiff (blue)	568	2	0.167	0.223	0.190	0.033	0.857	0.569
scan-29_plant-568.tiff (blue)	568	3	0.355	0.489	0.397	0.153	1.807	0.587
scan-29_plant-568.tiff (blue)	568	4	0.368	0.542	0.422	0.179	2.010	0.558
scan-29_plant-568.tiff (blue)	568	5	0.468	0.801	0.350	0.220	2.353	0.499
scan-29_plant-568.tiff (blue)	568	6	0.586	0.750	0.427	0.252	2.430	0.536
scan-29_plant-568.tiff (blue)	568	7	0.675	0.852	0.415	0.278	2.617	0.510
scan-29_plant-568.tiff (blue)	568	8	0.621	0.875	0.492	0.338	2.903	0.504
scan-29_plant-568.tiff (blue)	568	9	0.571	0.878	0.425	0.293	2.753	0.486
scan-29_plant-568.tiff (blue)	568	10	0.529	0.909	0.390	0.278	2.703	0.478

scan-30_plant-585.tiff (blue)	585	1	0.240	0.264	0.234	0.048	1.037	0.566
scan-30_plant-585.tiff (blue)	585	2	0.226	0.241	0.167	0.032	0.857	0.541
scan-30_plant-585.tiff (blue)	585	3	0.340	0.447	0.353	0.124	1.683	0.550
scan-30_plant-585.tiff (blue)	585	4	0.469	0.542	0.467	0.199	2.173	0.529
scan-30_plant-585.tiff (blue)	585	5	0.615	0.701	0.479	0.263	2.433	0.559
scan-30_plant-585.tiff (blue)	585	6	0.791	0.938	0.495	0.365	2.927	0.535
scan-30_plant-585.tiff (blue)	585	7	0.937	1.003	0.483	0.380	3.137	0.486
scan-30_plant-585.tiff (blue)	585	8	0.797	1.182	0.529	0.491	3.667	0.459
scan-30_plant-585.tiff (blue)	585	9	0.926	1.000	0.515	0.404	3.250	0.481
scan-30_plant-585.tiff (blue)	585	10	0.620	1.092	0.495	0.425	3.577	0.417

scan-31_plant-606.tiff (blue)	606	1	0.277	0.289	0.237	0.054	1.100	0.559
scan-31_plant-606.tiff (blue)	606	2	0.191	0.277	0.216	0.047	1.013	0.575
scan-31_plant-606.tiff (blue)	606	3	0.370	0.474	0.362	0.135	1.727	0.567
scan-31_plant-606.tiff (blue)	606	4	0.445	0.618	0.442	0.214	2.217	0.548
scan-31_plant-606.tiff (blue)	606	5	0.488	0.791	0.409	0.254	2.463	0.526
scan-31_plant-606.tiff (blue)	606	6	0.530	0.924	0.409	0.297	2.833	0.465
scan-31_plant-606.tiff (blue)	606	7	0.672	0.972	0.348	0.266	2.763	0.438
scan-31_plant-606.tiff (blue)	606	8	0.629	0.984	0.359	0.277	2.847	0.430
scan-31_plant-606.tiff (blue)	606	9	0.698	1.094	0.390	0.335	3.073	0.446
scan-31_plant-606.tiff (blue)	606	10	0.602	1.001	0.349	0.274	2.900	0.410

scan-32_plant-626.tiff (blue)	626	1	0.176	0.254	0.221	0.044	0.980	0.577
scan-32_plant-626.tiff (blue)	626	2	0.236	0.269	0.213	0.045	0.980	0.589
scan-32_plant-626.tiff (blue)	626	3	0.413	0.494	0.420	0.163	1.883	0.578
scan-32_plant-626.tiff (blue)	626	4	0.387	0.376	0.227	0.067	2.440	0.142
scan-32_plant-626.tiff (blue)	626	5	0.496	0.838	0.534	0.352	2.897	0.527
scan-32_plant-626.tiff (blue)	626	6	0.553	0.947	0.578	0.430	3.163	0.540
scan-32_plant-626.tiff (blue)	626	7	0.659	1.177	0.530	0.490	3.583	0.479
scan-32_plant-626.tiff (blue)	626	8	0.540	1.194	0.547	0.513	3.650	0.484
scan-32_plant-626.tiff (blue)	626	9	0.615	1.218	0.516	0.494	3.717	0.449
scan-32_plant-626.tiff (blue)	626	10	0.710	1.211	0.560	0.533	3.683	0.493

scan-33_plant-636.tiff (blue)	636	1	0.336	0.323	0.239	0.061	1.153	0.573
scan-33_plant-636.tiff (blue)	636	2	0.280	0.313	0.228	0.056	1.237	0.460
scan-33_plant-636.tiff (blue)	636	3	0.489	0.576	0.464	0.210	2.120	0.586
scan-33_plant-636.tiff (blue)	636	4	0.492	0.633	0.477	0.237	2.343	0.543
scan-33_plant-636.tiff (blue)	636	5	0.616	0.949	0.477	0.355	2.947	0.514
scan-33_plant-636.tiff (blue)	636	6	0.752	1.073	0.558	0.470	3.380	0.517
scan-33_plant-636.tiff (blue)	636	7	0.700	1.185	0.413	0.385	3.420	0.413
scan-33_plant-636.tiff (blue)	636	8	0.590	1.368	0.499	0.536	4.013	0.418
scan-33_plant-636.tiff (blue)	636	9	0.810	1.269	0.483	0.482	3.790	0.421
scan-33_plant-636.tiff (blue)	636	10	0.593	1.246	0.544	0.533	3.753	0.475

scan-34_plant-649.tiff (blue)	649	1	0.216	0.232	0.201	0.037	0.963	0.496
