plantNum	type	leafNum	image	x	y	slice
512	center	1	2016-09-28_0835_ch129-pos01.jpg	769	759	
	tip	1	2016-09-28_0835_ch129-pos01.jpg	798	707	
		2	2016-09-28_0835_ch129-pos01.jpg	759	812	
		3	2016-09-28_0835_ch129-pos01.jpg	687	692	
		4	2016-09-28_0835_ch129-pos01.jpg	876	785	
		5	2016-09-28_0835_ch129-pos01.jpg	662	823	
		6	2016-09-28_0835_ch129-pos01.jpg	725	608	
		7	2016-09-28_0835_ch129-pos01.jpg	851	864	
		8	2016-09-28_0835_ch129-pos01.jpg	625	752	
		9	2016-09-28_0835_ch129-pos01.jpg	846	659	
		10	2016-09-28_0835_ch129-pos01.jpg	765	858	
		11	2016-09-28_0835_ch129-pos01.jpg	763	673	
		12	2016-09-28_0835_ch129-pos01.jpg	819	764	
		13	2016-09-28_0835_ch129-pos01.jpg	729	783	
		14	2016-09-28_0835_ch129-pos01.jpg	750	742	
		15	2016-09-28_0835_ch129-pos01.jpg	776	751	
		16	2016-09-28_0835_ch129-pos01.jpg	775	772	
	base	1	2016-09-28_0835_ch129-pos01.jpg	782	730	
		2	2016-09-28_0835_ch129-pos01.jpg	764	789	
		3	2016-09-28_0835_ch129-pos01.jpg	730	724	
		4	2016-09-28_0835_ch129-pos01.jpg	820	771	
		5	2016-09-28_0835_ch129-pos01.jpg	719	789	
		6	2016-09-28_0835_ch129-pos01.jpg	752	685	
		7	2016-09-28_0835_ch129-pos01.jpg	806	809	
		8	2016-09-28_0835_ch129-pos01.jpg	703	750	
		9	2016-09-28_0835_ch129-pos01.jpg	803	719	
		10	2016-09-28_0835_ch129-pos01.jpg	767	797	
		11	2016-09-28_0835_ch129-pos01.jpg	767	729
		12	2016-09-28_0835_ch129-pos01.jpg	779	760
508	center	1	fov-01:2016-09-28_1630_ch129-pos01	1223	1191	22
	tip	1	fov-01:2016-09-28_1630_ch129-pos01	1273	1150	22
		2	fov-01:2016-09-28_1630_ch129-pos01	1170	1222	22
		3	fov-01:2016-09-28_1630_ch129-pos01	1325	1243	22
		4	fov-01:2016-09-28_1630_ch129-pos01	1139	1083	22
		5	fov-01:2016-09-28_1630_ch129-pos01	1154	1317	22
		6	fov-01:2016-09-28_1630_ch129-pos01	1370	1140	22
		7	fov-01:2016-09-28_1630_ch129-pos01	1060	1143	22
		8	fov-01:2016-09-28_1630_ch129-pos01	1295	1324	22
		9	fov-01:2016-09-28_1630_ch129-pos01	1262	1053	22
		10	fov-01:2016-09-28_1630_ch129-pos01	1118	1221	22
		11	fov-01:2016-09-28_1630_ch129-pos01	1285	1221	22
		12	fov-01:2016-09-28_1630_ch129-pos01	1202	1142	22
		13	fov-01:2016-09-28_1630_ch129-pos01	1221	1220	22
		14	fov-01:2016-09-28_1630_ch129-pos01	1236	1181	22
		15	fov-01:2016-09-28_1630_ch129-pos01	1213	1191	22
		16	fov-01:2016-09-28_1630_ch129-pos01	1229	1197	22
	base	1	fov-01:2016-09-28_1630_ch129-pos01	1247	1172	22
		2	fov-01:2016-09-28_1630_ch129-pos01	1194	1204	22
		3	fov-01:2016-09-28_1630_ch129-pos01	1277	1218	22
		4	fov-01:2016-09-28_1630_ch129-pos01	1186	1138	22
		5	fov-01:2016-09-28_1630_ch129-pos01	1191	1246	22
		6	fov-01:2016-09-28_1630_ch129-pos01	1298	1167	22
		7	fov-01:2016-09-28_1630_ch129-pos01	1149	1162	22
		8	fov-01:2016-09-28_1630_ch129-pos01	1252	1246	22
		9	fov-01:2016-09-28_1630_ch129-pos01	1240	1137	22
		10	fov-01:2016-09-28_1630_ch129-pos01	1185	1201	22
		11	fov-01:2016-09-28_1630_ch129-pos01	1240	1200	22
		12	fov-01:2016-09-28_1630_ch129-pos01	1220	1184	22
510	center	1	2016-09-30_0855_ch129-pos01.jpg	2159	1222	
	tip	1	2016-09-30_0855_ch129-pos01.jpg	2133	1151	
		2	2016-09-30_0855_ch129-pos01.jpg	2174	1285	
		3	2016-09-30_0855_ch129-pos01.jpg	2220	1144	
		4	2016-09-30_0855_ch129-pos01.jpg	2062	1260	
		5	2016-09-30_0855_ch129-pos01.jpg	2277	1295	
		6	2016-09-30_0855_ch129-pos01.jpg	2051	1125	
		7	2016-09-30_0855_ch129-pos01.jpg	2152	1372	
		8	2016-09-30_0855_ch129-pos01.jpg	2304	1159	
		9	2016-09-30_0855_ch129-pos01.jpg	2020	1210	
		10	2016-09-30_0855_ch129-pos01.jpg	2246	1325	
		11	2016-09-30_0855_ch129-pos01.jpg	2208	1097	
		12	2016-09-30_0855_ch129-pos01.jpg	2099	1276	
		13	2016-09-30_0855_ch129-pos01.jpg	2244	1235	
		14	2016-09-30_0855_ch129-pos01.jpg	2128	1177	
		15	2016-09-30_0855_ch129-pos01.jpg	2166	1257	
		16	2016-09-30_0855_ch129-pos01.jpg	2176	1198	
		17	2016-09-30_0855_ch129-pos01.jpg	2146	1229	
		18	2016-09-30_0855_ch129-pos01.jpg	2172	1228	
		19	2016-09-30_0855_ch129-pos01.jpg	2157	1217	
	base	1	2016-09-30_0855_ch129-pos01.jpg	2145	1180	
		2	2016-09-30_0855_ch129-pos01.jpg	2166	1257	
		3	2016-09-30_0855_ch129-pos01.jpg	2189	1181	
		4	2016-09-30_0855_ch129-pos01.jpg	2106	1238	
		5	2016-09-30_0855_ch129-pos01.jpg	2212	1256	
		6	2016-09-30_0855_ch129-pos01.jpg	2116	1173	
		7	2016-09-30_0855_ch129-pos01.jpg	2149	1290	
		8	2016-09-30_0855_ch129-pos01.jpg	2226	1198	
		9	2016-09-30_0855_ch129-pos01.jpg	2100	1213	
		10	2016-09-30_0855_ch129-pos01.jpg	2192	1262	
		11	2016-09-30_0855_ch129-pos01.jpg	2179	1170	
		12	2016-09-30_0855_ch129-pos01.jpg	2141	1236	
501	center	1	fov-01:2016-09-30_1630_ch129-pos01	335	1620	24
	tip	1	fov-01:2016-09-30_1630_ch129-pos01	357	1548	24
		2	fov-01:2016-09-30_1630_ch129-pos01	292	1671	24
		3	fov-01:2016-09-30_1630_ch129-pos01	422	1700	24
		4	fov-01:2016-09-30_1630_ch129-pos01	434	1588	24
		5	fov-01:2016-09-30_1630_ch129-pos01	256	1687	24
		6	fov-01:2016-09-30_1630_ch129-pos01	423	1774	24
		7	fov-01:2016-09-30_1630_ch129-pos01	305	1447	24
		8	fov-01:2016-09-30_1630_ch129-pos01	146	1708	24
		9	fov-01:2016-09-30_1630_ch129-pos01	478	1648	24
		10	fov-01:2016-09-30_1630_ch129-pos01	179	1528	24
		11	fov-01:2016-09-30_1630_ch129-pos01	326	1775	24
		12	fov-01:2016-09-30_1630_ch129-pos01	382	1538	24
		13	fov-01:2016-09-30_1630_ch129-pos01	241	1594	24
		14	fov-01:2016-09-30_1630_ch129-pos01	356	1658	24
		15	fov-01:2016-09-30_1630_ch129-pos01	327	1594	24
		16	fov-01:2016-09-30_1630_ch129-pos01	320	1640	24
		17	fov-01:2016-09-30_1630_ch129-pos01	344	1614	24
	base	1	fov-01:2016-09-30_1630_ch129-pos01	346	1582	24
		2	fov-01:2016-09-30_1630_ch129-pos01	320	1644	24
		3	fov-01:2016-09-30_1630_ch129-pos01	372	1661	24
		4	fov-01:2016-09-30_1630_ch129-pos01	389	1606	24
		5	fov-01:2016-09-30_1630_ch129-pos01	298	1658	24
		6	fov-01:2016-09-30_1630_ch129-pos01	374	1703	24
		7	fov-01:2016-09-30_1630_ch129-pos01	332	1535	24
		8	fov-01:2016-09-30_1630_ch129-pos01	242	1662	24
		9	fov-01:2016-09-30_1630_ch129-pos01	390	1640	24
		10	fov-01:2016-09-30_1630_ch129-pos01	263	1569	24
		11	fov-01:2016-09-30_1630_ch129-pos01	327	1688	24
		12	fov-01:2016-09-30_1630_ch129-pos01	352	1594	24
518	center	1	2016-09-28_0835_ch129-pos02.jpg	1240	1615	
	tip	1	2016-09-28_0835_ch129-pos02.jpg	1189	1575	
		2	2016-09-28_0835_ch129-pos02.jpg	1307	1654	
		3	2016-09-28_0835_ch129-pos02.jpg	1191	1495	
		4	2016-09-28_0835_ch129-pos02.jpg	1192	1730	
		5	2016-09-28_0835_ch129-pos02.jpg	1410	1538	
		6	2016-09-28_0835_ch129-pos02.jpg	1061	1584	
		7	2016-09-28_0835_ch129-pos02.jpg	1282	1808	
		8	2016-09-28_0835_ch129-pos02.jpg	1282	1487	
		9	2016-09-28_0835_ch129-pos02.jpg	1117	1715	
		10	2016-09-28_0835_ch129-pos02.jpg	1308	1704	
		11	2016-09-28_0835_ch129-pos02.jpg	1185	1565	
		12	2016-09-28_0835_ch129-pos02.jpg	1214	1662	
		13	2016-09-28_0835_ch129-pos02.jpg	1269	1609	
		14	2016-09-28_0835_ch129-pos02.jpg	1220	1622	
		15	2016-09-28_0835_ch129-pos02.jpg	1242	1626	
		16	2016-09-28_0835_ch129-pos02.jpg	1236	1608	
	base	1	2016-09-28_0835_ch129-pos02.jpg	1218	1593	
		2	2016-09-28_0835_ch129-pos02.jpg	1276	1633	
		3	2016-09-28_0835_ch129-pos02.jpg	1219	1552	
		4	2016-09-28_0835_ch129-pos02.jpg	1217	1677	
		5	2016-09-28_0835_ch129-pos02.jpg	1318	1577	
		6	2016-09-28_0835_ch129-pos02.jpg	1152	1596	
		7	2016-09-28_0835_ch129-pos02.jpg	1262	1709	
		8	2016-09-28_0835_ch129-pos02.jpg	1256	1568	
		9	2016-09-28_0835_ch129-pos02.jpg	1186	1653	
		10	2016-09-28_0835_ch129-pos02.jpg	1264	1645	
		11	2016-09-28_0835_ch129-pos02.jpg	1228	1604	
		12	2016-09-28_0835_ch129-pos02.jpg	1237	1626	
529	center	1	fov-02:2016-09-28_1630_ch129-pos02	1641	759	22
	tip	1	fov-02:2016-09-28_1630_ch129-pos02	1572	755	22
		2	fov-02:2016-09-28_1630_ch129-pos02	1702	785	22
		3	fov-02:2016-09-28_1630_ch129-pos02	1604	661	22
		4	fov-02:2016-09-28_1630_ch129-pos02	1638	880	22
		5	fov-02:2016-09-28_1630_ch129-pos02	1757	654	22
		6	fov-02:2016-09-28_1630_ch129-pos02	1474	727	22
		7	fov-02:2016-09-28_1630_ch129-pos02	1779	878	22
		8	fov-02:2016-09-28_1630_ch129-pos02	1680	583	22
		9	fov-02:2016-09-28_1630_ch129-pos02	1517	872	22
		10	fov-02:2016-09-28_1630_ch129-pos02	1790	745	22
		11	fov-02:2016-09-28_1630_ch129-pos02	1555	662	22
		12	fov-02:2016-09-28_1630_ch129-pos02	1649	850	22
		13	fov-02:2016-09-28_1630_ch129-pos02	1687	707	22
		14	fov-02:2016-09-28_1630_ch129-pos02	1598	766	22
		15	fov-02:2016-09-28_1630_ch129-pos02	1670	772	22
		16	fov-02:2016-09-28_1630_ch129-pos02	1629	736	22
		17	fov-02:2016-09-28_1630_ch129-pos02	1635	771	22
		18	fov-02:2016-09-28_1630_ch129-pos02	1651	750	22
	base	1	fov-02:2016-09-28_1630_ch129-pos02	1599	757	22
		2	fov-02:2016-09-28_1630_ch129-pos02	1674	774	22
		3	fov-02:2016-09-28_1630_ch129-pos02	1620	706	22
		4	fov-02:2016-09-28_1630_ch129-pos02	1644	828	22
		5	fov-02:2016-09-28_1630_ch129-pos02	1702	713	22
		6	fov-02:2016-09-28_1630_ch129-pos02	1560	738	22
		7	fov-02:2016-09-28_1630_ch129-pos02	1704	818	22
		8	fov-02:2016-09-28_1630_ch129-pos02	1661	677	22
		9	fov-02:2016-09-28_1630_ch129-pos02	1584	798	22
		10	fov-02:2016-09-28_1630_ch129-pos02	1701	755	22
		11	fov-02:2016-09-28_1630_ch129-pos02	1610	722	22
		12	fov-02:2016-09-28_1630_ch129-pos02	1642	782	22
528	center	1	2016-09-30_0855_ch129-pos02.jpg	1222	762	
	tip	1	2016-09-30_0855_ch129-pos02.jpg	1294	758	
		2	2016-09-30_0855_ch129-pos02.jpg	1162	765	
		3	2016-09-30_0855_ch129-pos02.jpg	1222	877	
		4	2016-09-30_0855_ch129-pos02.jpg	1294	675	
		5	2016-09-30_0855_ch129-pos02.jpg	1058	794	
		6	2016-09-30_0855_ch129-pos02.jpg	1410	765	
		7	2016-09-30_0855_ch129-pos02.jpg	1157	582	
		8	2016-09-30_0855_ch129-pos02.jpg	1156	939	
		9	2016-09-30_0855_ch129-pos02.jpg	1292	608	
		10	2016-09-30_0855_ch129-pos02.jpg	1084	736	
		11	2016-09-30_0855_ch129-pos02.jpg	1304	836	
		12	2016-09-30_0855_ch129-pos02.jpg	1203	712	
		13	2016-09-30_0855_ch129-pos02.jpg	1184	828	
		14	2016-09-30_0855_ch129-pos02.jpg	1271	754	
		15	2016-09-30_0855_ch129-pos02.jpg	1203	760	
		16	2016-09-30_0855_ch129-pos02.jpg	1241	782	
		17	2016-09-30_0855_ch129-pos02.jpg	1228	750	
	base	1	2016-09-30_0855_ch129-pos02.jpg	1261	762	
		2	2016-09-30_0855_ch129-pos02.jpg	1191	763	
		3	2016-09-30_0855_ch129-pos02.jpg	1226	815	
		4	2016-09-30_0855_ch129-pos02.jpg	1256	714	
		5	2016-09-30_0855_ch129-pos02.jpg	1146	764	
		6	2016-09-30_0855_ch129-pos02.jpg	1298	764	
		7	2016-09-30_0855_ch129-pos02.jpg	1201	681	
		8	2016-09-30_0855_ch129-pos02.jpg	1194	830	
		9	2016-09-30_0855_ch129-pos02.jpg	1247	712	
		10	2016-09-30_0855_ch129-pos02.jpg	1178	747	
		11	2016-09-30_0855_ch129-pos02.jpg	1251	786	
		12	2016-09-30_0855_ch129-pos02.jpg	1221	751	
521	center	1	fov-02:2016-09-30_1630_ch129-pos02	355	1186	24
	tip	1	fov-02:2016-09-30_1630_ch129-pos02	395	1230	24
		2	fov-02:2016-09-30_1630_ch129-pos02	300	1138	24
		3	fov-02:2016-09-30_1630_ch129-pos02	479	1138	24
		4	fov-02:2016-09-30_1630_ch129-pos02	234	1278	24
		5	fov-02:2016-09-30_1630_ch129-pos02	398	1016	24
		6	fov-02:2016-09-30_1630_ch129-pos02	518	1302	24
